Function Name Readability,Variable Name Readability,Tabulators,Tab Indents,Space Indents,Prefer Tabs Over Spaces,Unique Words,author,function
1,1.00,0,0,13,0,16,37ae912,solve
1,0.50,40,20,37,0,38,37ae912,main
1,1.00,0,0,10,0,15,37ae912,solve
1,0.88,102,42,42,0,31,3abdelazim,main
1,1.00,16,11,11,0,28,3abdelazim,main
1,1.00,4,3,3,0,10,3abdelazim,solve
1,1.00,69,29,29,0,31,3abdelazim,main
1,1.00,34,17,17,0,24,3abdelazim,main
0,0.50,6,5,5,0,10,3abdelazim,dfs
0,1.00,13,11,11,0,19,3abdelazim,getstr
1,1.00,59,28,28,0,35,3abdelazim,main
1,0.80,13,11,11,0,16,3abdelazim,cost
1,1.00,60,25,25,0,20,3abdelazim,getf
1,1.00,83,37,37,0,37,3abdelazim,main
0,1.00,10,6,6,0,12,3abdelazim,CHECK
0,1.00,13,8,8,0,15,3abdelazim,SIZE
1,0,4,4,4,0,6,3abdelazim,cl
1,0,1,1,1,0,5,3abdelazim,g
1,0,6,4,4,0,6,3abdelazim,init
1,0,21,10,10,0,14,3abdelazim,insert
1,0.75,11,8,8,0,19,3abdelazim,invalid
1,0.77,121,43,43,0,41,3abdelazim,main
1,0,24,10,10,0,11,3abdelazim,size
1,1.00,1,1,1,0,5,3abdelazim,bit
1,0.80,54,23,23,0,16,3abdelazim,count
1,0,12,8,8,0,16,3abdelazim,get
1,0.78,46,21,21,0,27,3abdelazim,main
1,1.00,59,25,25,0,31,3abdelazim,main
1,0.57,0,0,28,0,21,3of7,doit
1,0.67,0,0,38,0,41,3of7,main
1,1.00,0,0,175,0,48,3of7,main
1,1.00,0,0,24,0,36,3of7,main
1,1.00,0,0,38,0,41,3of7,main
1,0.93,0,0,43,0,44,3of7,main
1,0,0,0,6,0,14,3of7,sw
1,1.00,0,0,5,0,11,3of7,flood
1,1.00,0,0,65,0,49,3of7,main
1,1.00,0,0,28,0,29,3of7,main
0,1.00,0,0,2,0,5,3of7,myabs
0,0,0,0,4,0,21,3of7,isless
1,0.83,0,0,51,0,49,3of7,main
1,0.83,0,0,59,0,58,3of7,main
0,1.00,0,0,2,0,5,3of7,myabs
1,1.00,0,0,19,0,31,735612658,main
1,0.60,0,0,39,0,34,735612658,main
0,1.00,0,0,9,0,13,735612658,backtype
0,1.00,0,0,11,0,12,735612658,contype
1,0,0,0,3,0,4,735612658,enter
1,1.00,0,0,18,0,29,735612658,main
0,0.29,0,0,123,0,28,735612658,getans
1,1.00,0,0,14,0,31,735612658,main
1,1.00,0,0,2,0,25,735612658,min
1,1.00,0,0,6,0,10,735612658,add
0,1.00,0,0,12,0,15,735612658,dfs
1,1.00,0,0,42,0,39,735612658,main
1,0.88,0,0,48,0,40,735612658,main
1,1.00,0,0,1,0,5,735612658,MIN
0,0.67,0,0,36,0,31,735612658,bfs
1,1.00,0,0,11,0,26,735612658,main
1,1.00,0,0,8,0,14,735612658,read
1,1.00,0,0,5,0,11,735612658,C
1,1.00,0,0,11,0,12,735612658,Lucas
0,1.00,0,0,11,0,10,735612658,bspow
1,1.00,0,0,6,0,8,735612658,init
1,1.00,0,0,10,0,13,735612658,main
1,0,0,0,5,0,12,735612658,fun
0,1.00,0,0,5,0,9,735612658,getans
1,1.00,0,0,22,0,31,735612658,main
1,0,0,0,0,0,12,735612658,max
1,1.00,0,0,0,0,6,735612658,min
1,0,5,4,5,0,14,A.Grishchenko,main
1,0.71,27,19,19,0,72,A.Grishchenko,solve
1,0,5,4,5,0,14,A.Grishchenko,main
1,0.69,140,42,42,0,28,A.Grishchenko,solve
1,0,5,4,5,0,14,A.Grishchenko,main
1,1.00,37,19,19,0,28,A.Grishchenko,solve
1,0,5,4,5,0,14,A.Grishchenko,main
1,0.73,149,46,46,0,36,A.Grishchenko,solve
1,0,5,4,5,0,14,A.Grishchenko,main
1,0.82,46,22,22,0,25,A.Grishchenko,solve
0,1.00,0,0,5,0,9,A.Grishchenko,inttostr
1,0,0,0,5,0,14,A.Grishchenko,main
1,0.62,94,34,34,0,27,A.Grishchenko,solve
0,1.00,0,0,5,0,9,A.Grishchenko,inttostr
1,0,5,4,5,0,14,A.Grishchenko,main
1,0.80,69,31,31,0,31,A.Grishchenko,solve
0,1.00,1,1,6,0,14,A.Grishchenko,inttostr
1,0,5,4,5,0,14,A.Grishchenko,main
1,0.92,136,50,50,0,41,A.Grishchenko,solve
0,1.00,0,0,5,0,14,A.Grishchenko,inttostr
1,0,5,4,5,0,14,A.Grishchenko,main
1,0.75,71,30,30,0,23,A.Grishchenko,solve
0,0.75,15,12,12,0,15,A.Grishchenko,solve_p
1,0,0,0,0,0,23,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
1,1.00,0,0,11,0,19,a180285,doit
1,0,0,0,12,0,16,a180285,get
1,0,0,0,4,0,10,a180285,main
1,1.00,0,0,13,0,27,a180285,read
1,0,0,0,0,0,26,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
1,1.00,0,0,7,0,7,a180285,def
1,1.00,0,0,6,0,14,a180285,doit
1,0.50,0,0,10,0,18,a180285,main
1,1.00,0,0,12,0,15,a180285,test
1,0,0,0,0,0,22,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
1,1.00,0,0,11,0,6,a180285,def
1,1.00,0,0,15,0,20,a180285,doit
1,0.50,0,0,10,0,18,a180285,main
1,0,0,0,1,0,25,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
0,1.00,0,0,3,0,7,a180285,cmp
1,1.00,0,0,12,0,13,a180285,def
1,1.00,0,0,30,0,23,a180285,doit
1,0.67,0,0,14,0,25,a180285,main
1,0,0,0,0,0,25,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
1,1.00,0,0,16,0,21,a180285,doit
1,0.50,0,0,10,0,18,a180285,main
1,0,0,0,0,0,26,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
0,1.00,0,0,3,0,8,a180285,cmp
1,1.00,0,0,13,0,14,a180285,doit
1,0.50,0,0,11,0,21,a180285,main
1,0,0,0,1,0,30,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
1,1.00,0,0,3,0,7,a180285,add
0,1.00,0,0,3,0,9,a180285,cmp
1,1.00,0,0,28,0,25,a180285,def
1,1.00,0,0,16,0,22,a180285,doit
1,0.67,0,0,10,0,24,a180285,main
1,1.00,0,0,24,0,19,a180285,other
1,1.00,0,0,5,0,7,a180285,xx
1,0,0,0,3,0,27,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
0,1.00,0,0,1,0,7,a180285,cmp_id
0,1.00,0,0,1,0,7,a180285,cmp_v
1,1.00,0,0,30,0,28,a180285,doit
0,1.00,0,0,1,0,7,a180285,fcmp
1,0.50,0,0,10,0,18,a180285,main
1,1.00,0,0,1,0,6,a180285,sgn
1,0,0,0,1,0,9,a180285,sqr
1,0,0,0,0,0,25,a180285,MAX
1,0,0,0,0,0,9,a180285,MIN
1,1.00,0,0,15,0,19,a180285,doit
1,0.50,0,0,10,0,19,a180285,main
1,0,0,0,12,0,15,a180285,pt
1,1.00,0,0,6,0,10,a180285,sum
1,1.00,20,14,15,0,65,a9108,main
1,1.00,1,1,1,0,12,a9108,relax
1,1.00,14,12,12,0,24,a9108,check
1,1.00,11,7,8,0,16,a9108,main
1,1.00,2,2,2,0,9,a9108,checkless
0,1.00,8,6,6,0,10,a9108,checkok
1,1.00,33,16,17,0,23,a9108,main
1,1.00,1,1,1,0,8,a9108,relax
1,0.80,61,37,37,0,41,a9108,check
1,1.00,84,36,37,0,42,a9108,main
1,1.00,6,6,6,0,24,a9108,overlap
0,0.43,12,10,10,0,24,a9108,overlap2
1,1.00,113,36,37,0,29,a9108,main
1,1.00,28,14,15,0,20,a9108,main
1,1.00,33,17,18,0,30,a9108,main
1,1.00,7,5,5,0,20,a9108,check
0,1.00,2,2,2,0,6,a9108,getrand
1,1.00,42,19,20,0,33,a9108,main
1,1.00,7,7,7,0,21,a9108,check
1,1.00,6,5,5,0,13,a9108,getid
0,1.00,2,2,2,0,7,a9108,getrand
1,1.00,23,16,17,0,28,a9108,main
0,1.00,1,1,1,0,5,a9108,makeans
1,0,6,6,15,0,13,aa2985759,get
0,1.00,6,6,14,0,13,aa2985759,get1
1,1.00,6,6,14,0,25,aa2985759,main
1,1.00,7,7,18,0,29,aa2985759,main
1,1.00,37,31,39,0,33,aa2985759,main
1,1.00,8,6,14,0,25,aa2985759,main
0,1.00,0,0,1,0,9,aa2985759,cmp
0,1.00,4,3,10,0,19,aa2985759,dfs
0,1.00,1,1,3,0,12,aa2985759,dfs1
1,1.00,12,12,25,0,27,aa2985759,jud
1,1.00,22,22,30,0,41,aa2985759,main
1,0,1,1,5,0,15,aa2985759,get
1,1.00,49,39,47,0,37,aa2985759,main
1,0,0,0,2,0,16,aa2985759,add
1,0.60,168,56,56,0,41,aa2985759,main
1,0.91,0,0,46,0,37,aa2985759,sap
0,0.80,49,23,23,0,23,aa2985759,dfs
0,1.00,7,6,6,0,17,aa2985759,getnum
1,1.00,13,8,8,0,13,aa2985759,ins
1,1.00,21,14,14,0,28,aa2985759,main
0,0.75,42,27,27,0,19,aa2985759,dfs
1,1.00,17,12,12,0,23,aa2985759,main
1,1.00,54,26,26,0,31,aaaaajack,main
1,1.00,22,15,15,0,31,aaaaajack,main
1,1.00,37,21,21,0,37,aaaaajack,main
1,1.00,0,0,13,0,18,aaaaajack,main
1,1.00,0,0,53,0,36,aaaaajack,main
1,0.79,312,90,90,0,56,aaaaajack,main
0,1.00,2,2,2,0,6,aaaaajack,gcd
1,1.00,42,22,22,0,26,aaaaajack,main
1,1.00,59,28,28,0,27,aaaaajack,bf
1,1.00,19,12,12,0,20,aaaaajack,main
1,1.00,47,22,22,0,22,aaaaajack,main
1,1.00,25,15,15,0,27,abcsampson,main
1,1.00,125,44,44,0,42,abcsampson,main
1,1.00,42,21,21,0,27,abcsampson,main
1,1.00,65,29,29,0,34,abcsampson,main
1,1.00,97,42,42,0,55,abcsampson,main
1,0.00,1,1,1,0,11,abcsampson,print
1,1.00,3,3,3,0,19,abcsampson,push
0,1.00,7,5,5,0,10,abcsampson,floyd
1,1.00,31,19,19,0,30,abcsampson,main
1,1.00,42,23,23,0,33,abcsampson,main
0,1.00,0,0,0,0,13,abcsampson,cmp
1,1.00,154,47,47,0,53,abcsampson,main
1,0,1,1,1,0,5,abcsampson,sqr
1,1.00,1,1,1,0,9,abcsampson,cross
1,1.00,193,64,64,0,50,abcsampson,main
1,1.00,0,0,16,0,21,abdurak,main
1,1.00,0,0,118,0,28,abdurak,main
1,1.00,0,0,20,0,24,abdurak,main
1,1.00,0,0,32,0,27,abdurak,main
1,0.88,0,0,70,0,39,abdurak,main
0,1.00,0,0,6,0,8,abdurak,num1s
1,1.00,0,0,42,0,32,abdurak,main
0,1.00,0,0,6,0,11,abdurak,numCon
0,1.00,0,0,70,0,22,abdurak,toKill
1,1.00,0,0,21,0,24,abdurak,main
1,0.87,0,0,49,0,42,abdurak,main
1,1.00,1,1,15,0,18,abdurak,main
1,1.00,0,0,12,0,17,abdurak,rec
1,0.78,0,0,49,0,22,abhay26,dec
1,1.00,0,0,12,0,28,abhay26,main
1,0.75,0,0,38,0,22,abhay26,war
1,1.00,0,0,42,0,33,abhay26,calc
0,0.86,0,0,25,0,17,abhay26,dfs
1,1.00,0,0,26,0,35,abhay26,main
1,1.00,0,0,26,0,26,abhay26,yes
1,0.89,0,0,24,0,37,abhay26,main
1,0.78,0,0,45,0,34,abhay26,main
1,1.00,0,0,86,0,27,abhay26,main
1,1.00,0,0,68,0,29,abhay26,calc
1,1.00,0,0,48,0,46,abhay26,main
1,1.00,0,0,20,0,19,abhay26,calc
0,1.00,0,0,3,0,8,abhay26,gcd
1,1.00,0,0,31,0,40,abhay26,main
1,1.00,0,0,32,0,25,abhay26,calc
1,1.00,0,0,21,0,34,abhay26,main
1,1.00,0,0,46,0,23,abhay26,calc
1,1.00,0,0,11,0,23,abhay26,dist
1,1.00,0,0,50,0,47,abhay26,main
1,0.78,0,0,17,0,17,abhay26,merge
0,1.00,0,0,7,0,16,abhay26,mergesort
1,0.67,115,39,39,0,27,abhra73,main
1,1.00,715,183,183,0,24,abhra73,main
1,1.00,42,16,16,0,13,abhra73,out
1,1.00,73,29,29,0,14,abhra73,outc
1,1.00,42,16,16,0,13,abhra73,outg
1,1.00,57,25,25,0,21,abhra73,main
1,1.00,113,44,44,0,24,abhra73,main
1,0.93,262,90,90,0,39,abhra73,main
1,1.00,42,18,18,0,18,abhra73,main
1,0.53,135,49,49,0,28,abhra73,main
1,1.00,137,59,59,0,47,abhra73,main
0,1.00,6,4,4,0,7,abhra73,gcd
1,1.00,94,36,36,0,29,abhra73,main
1,1.00,20,12,12,0,28,Abscp,main
1,1.00,14,9,9,0,15,Abscp,check
1,1.00,24,16,16,0,29,Abscp,main
1,1.00,25,14,14,0,27,Abscp,main
1,0.88,122,39,39,0,36,Abscp,main
1,1.00,25,14,14,0,29,Abscp,main
0,1.00,1,1,1,0,7,Abscp,cmp
1,1.00,31,17,17,0,25,Abscp,main
1,1.00,40,20,20,0,36,Abscp,main
1,1.00,40,20,20,0,35,Abscp,main
1,1.00,40,20,20,0,35,Abscp,main
1,0.75,0,0,39,0,31,abyss.7,main
1,0.90,0,0,97,0,35,abyss.7,main
1,0.64,0,0,22,0,31,abyss.7,main
1,0.82,0,0,29,0,30,abyss.7,main
0,1.00,0,0,6,0,18,abyss.7,CheckPrefix
0,1.00,0,0,5,0,13,abyss.7,DevicesCount
0,1.00,0,0,5,0,13,abyss.7,OutletCount
1,1.00,0,0,4,0,10,abyss.7,Switch
0,0.33,0,0,19,0,17,abyss.7,TrySwitch
1,1.00,0,0,12,0,22,abyss.7,main
1,0.75,0,0,35,0,31,abyss.7,main
1,1.00,0,0,20,0,37,abyss.7,random
1,0.89,0,0,24,0,26,abyss.7,main
1,0.74,0,0,36,0,36,abyss.7,main
1,0.48,0,0,48,0,41,abyss.7,main
1,1.00,43,22,22,0,33,abyssmaul,main
1,1.00,159,64,64,0,36,abyssmaul,main
1,1.00,24,13,13,0,28,abyssmaul,main
1,1.00,53,23,23,0,33,abyssmaul,main
1,1.00,3,3,3,0,9,abyssmaul,bc
1,0.89,71,27,27,0,42,abyssmaul,main
1,1.00,8,6,6,0,11,abyssmaul,rd
1,0.67,34,20,20,0,37,abyssmaul,main
1,0.70,24,16,16,0,21,abyssmaul,calc
1,1.00,25,14,14,0,29,abyssmaul,main
1,1.00,3,3,3,0,11,abyssmaul,sz
1,1.00,111,39,39,0,51,abyssmaul,main
1,1.00,15,10,10,0,25,abyssmaul,main
0,0.80,36,19,19,0,23,abyssmaul,slv
1,0.78,43,21,21,0,20,achan1058,main
1,0,0,0,0,0,49,achan1058,size
1,0.62,21,11,11,0,20,achan1058,war
1,1.00,143,45,45,0,29,achan1058,main
0,1.00,27,13,13,0,19,achan1058,prt
1,0,0,0,0,0,49,achan1058,size
1,0.80,32,16,16,0,24,achan1058,main
1,0,0,0,0,0,49,achan1058,size
1,0.80,85,32,32,0,25,achan1058,main
1,0,0,0,0,0,49,achan1058,size
1,1.00,105,37,37,0,34,achan1058,main
1,0,0,0,0,0,49,achan1058,size
0,0.44,117,41,41,0,31,achan1058,dummu
1,1.00,2,1,1,0,5,achan1058,init
1,1.00,15,8,8,0,12,achan1058,inver
1,0.62,82,34,34,0,31,achan1058,main
0,1.00,8,5,5,0,11,achan1058,rand1
0,1.00,8,5,5,0,11,achan1058,rand2
1,0,0,0,0,0,49,achan1058,size
0,1.00,32,13,13,0,13,achan1058,sortnum
1,0.75,95,33,33,0,36,achan1058,main
1,0,40,21,21,0,72,achan1058,size
1,0,2,2,2,0,5,achan1058,main
0,1.00,133,48,48,0,38,achan1058,numnodes
1,0,0,0,0,0,54,achan1058,size
1,0.71,94,32,32,0,23,achan1058,main
1,0,0,0,0,0,54,achan1058,size
1,1.00,0,0,57,0,43,achiever202,main
1,0.78,0,0,192,0,42,achiever202,main
1,1.00,0,0,22,0,32,achiever202,main
1,1.00,0,0,35,0,34,achiever202,main
1,0.58,0,0,49,0,22,achiever202,main
1,1.00,0,0,21,0,17,achiever202,main
1,0,0,0,4,0,6,achiever202,abs
1,1.00,0,0,19,0,19,achiever202,main
1,0,0,0,4,0,6,achiever202,abs
1,0.85,0,0,98,0,38,achiever202,main
1,1.00,0,0,45,0,21,achiever202,main
1,0,0,0,12,0,11,ACMonster,get
1,0.57,0,0,54,0,37,ACMonster,main
1,1.00,0,0,16,0,10,ACMonster,output
1,0,0,0,12,0,11,ACMonster,get
1,0.80,0,0,16,0,22,ACMonster,main
1,1.00,0,0,16,0,10,ACMonster,output
0,1.00,0,0,6,0,11,ACMonster,solve_k_1
0,1.00,0,0,10,0,12,ACMonster,solve_m_1
0,1.00,0,0,8,0,12,ACMonster,solve_n_1
0,1.00,0,0,82,0,26,ACMonster,solve_usual
1,0,0,0,12,0,11,ACMonster,get
1,0.88,0,0,18,0,29,ACMonster,main
1,1.00,0,0,16,0,10,ACMonster,output
1,0,0,0,12,0,11,ACMonster,get
1,0.67,0,0,37,0,31,ACMonster,main
1,1.00,0,0,16,0,10,ACMonster,output
1,1.00,0,0,18,0,21,ACMonster,dp
1,0,0,0,12,0,11,ACMonster,get
1,0.83,0,0,17,0,31,ACMonster,main
1,1.00,0,0,16,0,17,ACMonster,output
1,0,0,0,12,0,11,ACMonster,get
0,1.00,0,0,1,0,5,ACMonster,getroot
1,0.90,0,0,90,0,48,ACMonster,main
1,1.00,0,0,8,0,9,ACMonster,output
1,0,0,0,12,0,11,ACMonster,get
1,0.92,0,0,47,0,51,ACMonster,main
1,1.00,0,0,16,0,10,ACMonster,output
1,1.00,0,0,52,0,29,ACMonster,SAP
1,1.00,0,0,4,0,9,ACMonster,add
1,0,0,0,12,0,11,ACMonster,get
1,0.67,0,0,46,0,40,ACMonster,main
1,1.00,0,0,16,0,16,ACMonster,output
0,1.00,0,0,38,0,23,ACMonster,dfs
1,0,0,0,12,0,11,ACMonster,get
1,0.67,0,0,15,0,29,ACMonster,main
1,1.00,0,0,16,0,18,ACMonster,output
0,1.00,0,0,1,0,8,ACPrimer,cmp
1,0.62,0,0,48,0,28,ACPrimer,main
1,1.00,0,0,15,0,23,ACPrimer,main
1,0.90,0,0,18,0,33,ACPrimer,main
0,1.00,0,0,17,0,15,ACPrimer,dfs
1,1.00,0,0,27,0,28,ACPrimer,main
1,1.00,0,0,3,0,9,ACPrimer,ok
1,1.00,0,0,3,0,10,ACPrimer,trans
0,1.00,0,0,24,0,15,ACPrimer,dfs
1,1.00,0,0,31,0,29,ACPrimer,main
1,0,0,0,4,0,11,ACPrimer,cal
1,1.00,0,0,10,0,19,ACPrimer,main
1,1.00,0,0,2,0,5,ACPrimer,Abs
0,1.00,0,0,1,0,7,ACPrimer,cmp
1,1.00,0,0,20,0,17,ACPrimer,com
1,1.00,0,0,24,0,32,ACPrimer,main
1,1.00,0,0,6,0,15,ACPrimer,ops
1,1.00,0,0,2,0,5,ACPrimer,Abs
1,1.00,0,0,30,0,29,ACPrimer,main
1,0.75,25,15,15,0,20,ACPrimer,merge
0,1.00,10,7,7,0,8,ACPrimer,merge_sort
0,1.00,0,0,1,0,7,ACPrimer,cmp
1,1.00,0,0,35,0,25,ACPrimer,main
1,1.00,26,14,14,0,19,acrush,init
1,0.33,26,17,17,0,29,acrush,main
1,0.75,18,10,10,0,12,acrush,init
1,0.67,21,16,16,0,31,acrush,main
1,0.17,28,17,17,0,32,acrush,main
1,1.00,8,7,7,0,14,acrush,solve
1,1.00,36,17,17,0,30,acrush,calc
0,0,0,0,8,0,26,acrush,checkMod
0,0,0,0,0,0,11,acrush,countbit
1,0,0,0,0,0,8,acrush,cross
0,0.29,0,0,1,0,12,acrush,crossOper
1,0.25,0,0,0,0,8,acrush,dist
0,0.25,0,0,0,0,8,acrush,distR
0,0,0,0,2,0,30,acrush,eularFunction
0,0,0,0,1,0,10,acrush,gcd
0,1.00,0,0,0,0,7,acrush,isDigit
0,0.12,0,0,1,0,10,acrush,isIntersect
0,1.00,0,0,0,0,11,acrush,isLetter
0,1.00,0,0,0,0,10,acrush,isLowerCase
0,1.00,0,0,0,0,12,acrush,isMiddle
0,0,0,0,1,0,16,acrush,isPrimeNumber
0,1.00,0,0,0,0,10,acrush,isUpperCase
1,0,0,0,6,0,29,acrush,lcm
1,0,0,0,0,0,8,acrush,lowbit
1,0.50,34,16,16,0,35,acrush,main
0,0,0,0,3,0,25,acrush,multiplyMod
0,0,0,0,1,0,18,acrush,powerMod
1,1.00,13,10,10,0,26,acrush,refine
1,0.86,31,22,22,0,38,acrush,solve
1,0,0,0,0,0,12,acrush,sqr
0,1.00,0,0,6,0,58,acrush,toDouble
0,1.00,0,0,0,0,10,acrush,toInt
0,1.00,0,0,0,0,10,acrush,toInt64
0,1.00,0,0,0,0,9,acrush,toLowerCase
0,0,0,0,0,0,13,acrush,toString
0,1.00,0,0,0,0,9,acrush,toUpperCase
0,0,0,0,8,0,26,acrush,checkMod
0,0,0,0,0,0,11,acrush,countbit
1,0,0,0,0,0,8,acrush,cross
0,0.29,0,0,1,0,12,acrush,crossOper
1,0.25,0,0,0,0,8,acrush,dist
0,0.25,0,0,0,0,8,acrush,distR
0,0,0,0,2,0,30,acrush,eularFunction
0,0,0,0,1,0,10,acrush,gcd
0,1.00,0,0,0,0,7,acrush,isDigit
0,0.12,0,0,1,0,10,acrush,isIntersect
0,1.00,0,0,0,0,11,acrush,isLetter
0,1.00,0,0,0,0,10,acrush,isLowerCase
0,1.00,0,0,0,0,12,acrush,isMiddle
0,0,0,0,1,0,16,acrush,isPrimeNumber
0,1.00,0,0,0,0,10,acrush,isUpperCase
1,0,0,0,6,0,29,acrush,lcm
1,0,0,0,0,0,8,acrush,lowbit
1,0.50,29,15,15,0,32,acrush,main
0,0,0,0,3,0,25,acrush,multiplyMod
0,0,0,0,1,0,18,acrush,powerMod
1,1.00,44,23,23,0,20,acrush,solve
1,0,0,0,0,0,12,acrush,sqr
0,1.00,0,0,6,0,55,acrush,toDouble
0,1.00,0,0,0,0,10,acrush,toInt
0,1.00,0,0,0,0,10,acrush,toInt64
0,1.00,0,0,0,0,9,acrush,toLowerCase
0,0,0,0,0,0,13,acrush,toString
0,1.00,0,0,0,0,9,acrush,toUpperCase
0,0,0,0,8,0,26,acrush,checkMod
0,0,0,0,0,0,11,acrush,countbit
1,0,0,0,0,0,8,acrush,cross
0,0.29,0,0,1,0,12,acrush,crossOper
1,0.25,0,0,0,0,8,acrush,dist
0,0.25,0,0,0,0,8,acrush,distR
0,0,0,0,2,0,30,acrush,eularFunction
0,0,0,0,1,0,10,acrush,gcd
0,1.00,0,0,0,0,7,acrush,isDigit
0,0.12,0,0,1,0,10,acrush,isIntersect
0,1.00,0,0,0,0,11,acrush,isLetter
0,1.00,0,0,0,0,10,acrush,isLowerCase
0,1.00,0,0,0,0,12,acrush,isMiddle
0,0,0,0,1,0,16,acrush,isPrimeNumber
0,1.00,0,0,0,0,10,acrush,isUpperCase
1,0,0,0,6,0,29,acrush,lcm
1,0,0,0,0,0,8,acrush,lowbit
1,0.50,19,11,11,0,30,acrush,main
0,0,0,0,3,0,25,acrush,multiplyMod
0,0,0,0,1,0,18,acrush,powerMod
1,0.40,13,11,11,0,15,acrush,solve
1,0,0,0,0,0,12,acrush,sqr
0,1.00,0,0,6,0,56,acrush,toDouble
0,1.00,0,0,0,0,10,acrush,toInt
0,1.00,0,0,0,0,10,acrush,toInt64
0,1.00,0,0,0,0,9,acrush,toLowerCase
0,0,0,0,0,0,13,acrush,toString
0,1.00,0,0,0,0,9,acrush,toUpperCase
0,0,1,1,1,0,7,acrush,GetInputFilename
0,1.00,8,6,6,0,14,acrush,GetOutputFilename
0,0,0,0,8,0,26,acrush,checkMod
1,1.00,3,3,3,0,9,acrush,compare
0,0,0,0,0,0,11,acrush,countbit
1,0,0,0,0,0,8,acrush,cross
0,0.29,0,0,1,0,12,acrush,crossOper
1,0.25,0,0,0,0,8,acrush,dist
0,0.25,0,0,0,0,8,acrush,distR
0,0,0,0,2,0,30,acrush,eularFunction
0,0,0,0,1,0,10,acrush,gcd
0,1.00,0,0,0,0,7,acrush,isDigit
0,0.12,0,0,1,0,10,acrush,isIntersect
0,1.00,0,0,0,0,11,acrush,isLetter
0,1.00,0,0,0,0,10,acrush,isLowerCase
0,1.00,0,0,0,0,12,acrush,isMiddle
0,0,0,0,1,0,16,acrush,isPrimeNumber
0,0.00,1,1,1,0,16,acrush,isSkipCase
0,1.00,0,0,0,0,10,acrush,isUpperCase
1,0,0,0,6,0,29,acrush,lcm
1,0,0,0,0,0,8,acrush,lowbit
1,0.57,189,80,80,0,63,acrush,main
