Function Name Readability,Variable Name Readability,Tabulators,Tab Indents,Space Indents,Prefer Tabs Over Spaces,Unique Words,AbiTagAttr,AccessSpecDecl,ArraySubscriptExpr,BinaryOperator,CStyleCastExpr,CXXBoolLiteralExpr,CXXConstructExpr,CXXConstructorDecl,CXXConversionDecl,CXXCtorInitializer,CXXDependentScopeMemberExpr,CXXDestructorDecl,CXXFunctionalCastExpr,CXXMemberCallExpr,CXXMethodDecl,CXXOperatorCallExpr,CXXRecordDecl,CXXStaticCastExpr,CXXTemporaryObjectExpr,CXXThisExpr,CXXUnresolvedConstructExpr,CallExpr,ClassTemplateSpecialization,CompoundAssignOperator,CompoundStmt,ConditionalOperator,ConstantExpr,CopyAssignment,CopyConstructor,DeclRefExpr,DeclStmt,DefaultConstructor,DefinitionData,DependentNameType,Destructor,EnumConstantDecl,ExprWithCleanups,FieldDecl,ForStmt,FormatAttr,FriendDecl,FunctionDecl,FunctionTemplateDecl,ImplicitCastExpr,IntegerLiteral,MaterializeTemporaryExpr,MemberExpr,MoveAssignment,MoveConstructor,NoThrowAttr,NullStmt,public,ParenExpr,ParenListExpr,ParmVarDecl,PureAttr,ReturnStmt,StringLiteral,TemplateArgument,TemplateSpecializationType,TemplateTypeParmDecl,TypedefDecl,UnaryOperator,UnresolvedLookupExpr,UsingDecl,UsingShadowDecl,WhileStmt,author,function
0,1,0,0,12,0,19,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,29,5,0,0,0,0,0,0,0,3,0,0,1,0,32,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,.dd,do_brute
1,1,0,0,28,0,34,0,1,12,14,0,2,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,15,0,0,9,0,1,1,1,74,10,1,1,0,2,1,0,0,7,0,0,7,1,77,11,0,4,1,1,3,0,2,2,0,16,0,3,10,1,0,3,0,15,0,3,6,0,.dd,main
0,1,0,0,2,0,13,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,2,0,10,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,.dd,noreturn
1,1,0,0,6,0,10,0,0,5,5,0,15,0,0,0,0,0,0,0,0,10,0,29,0,0,0,0,11,12,0,3,0,16,18,18,27,0,18,18,1,18,2,0,0,0,0,0,11,11,41,3,0,0,18,18,0,0,5,0,0,47,0,5,0,74,24,52,0,1,17,2,3,1,.dd,ok
1,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,10,1,1,1,1,21,0,1,1,0,1,1,0,0,0,0,0,20,1,25,2,0,0,1,1,10,0,1,0,0,20,0,10,0,1,0,4,0,1,0,8,21,0,.dd,abs
1,1,0,0,41,0,41,0,1,7,17,0,3,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,16,0,2,11,0,1,1,1,72,14,1,1,0,2,1,0,0,6,0,0,7,1,78,17,0,4,1,1,3,0,2,2,0,16,0,3,10,1,0,3,0,10,0,3,6,0,.dd,main
0,1,0,0,8,0,16,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,1,0,0,0,0,0,0,0,1,0,0,1,0,23,5,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,.dd,make_block
1,0.86,0,0,40,0,37,0,1,32,39,0,2,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,18,0,0,9,9,1,1,1,141,18,1,1,0,2,1,0,0,14,0,0,7,1,167,36,0,1,1,1,3,0,2,5,0,16,0,3,10,1,0,3,0,22,0,3,6,0,.dd,main
1,1,0,0,6,0,17,0,13,1,8,0,2,0,7,0,0,0,3,0,3,24,0,14,1,0,9,0,10,0,1,13,0,0,8,8,23,5,8,8,0,11,0,0,17,1,0,0,6,5,33,11,0,10,8,8,0,0,12,1,0,25,0,6,0,2,3,17,0,7,0,0,0,1,.dd,count
1,1,0,0,2,0,13,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,0,3,0,15,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,.dd,gen
1,0,0,0,1,0,8,0,14,1,8,0,4,1,24,0,4,8,3,0,0,43,1,12,1,0,10,2,6,4,0,27,0,2,8,8,9,0,8,8,2,11,3,0,15,0,0,0,15,13,26,22,0,19,8,8,0,0,7,0,4,67,0,23,0,5,1,26,0,0,1,2,2,0,.dd,init
1,0,0,0,10,0,18,0,2,7,6,0,1,1,1,0,0,0,0,0,0,15,0,2,0,0,2,0,0,0,0,2,0,0,1,1,14,2,1,1,0,1,0,0,1,1,0,0,1,2,29,1,0,5,1,1,0,0,1,0,0,30,0,0,0,1,0,4,0,2,0,0,0,0,.dd,insert
1,1,0,0,3,0,12,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,1,0,9,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,.dd,kill
1,1,0,0,16,0,28,0,1,1,7,0,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,12,0,0,7,0,1,1,1,35,4,1,1,0,2,1,0,0,2,0,0,7,1,39,12,0,1,1,1,3,0,2,2,0,16,0,3,8,1,0,3,0,7,0,3,6,0,.dd,main
1,1,0,0,7,0,22,0,0,6,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,30,4,0,0,0,0,0,0,0,3,0,0,1,0,30,6,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,.dd,solve
1,0,0,0,0,0,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,10,1,1,1,1,21,0,1,1,0,1,1,0,0,0,0,0,20,1,25,2,0,0,1,1,10,0,1,0,0,20,0,10,0,1,0,4,0,1,0,8,21,0,.dd,abs
1,1,0,0,21,0,21,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,71,11,0,0,0,0,0,0,0,8,0,0,1,0,64,15,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,10,0,0,0,0,.dd,brute
0,1,0,0,5,0,11,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,2,0,0,1,0,12,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,.dd,bubble_down
0,1,0,0,5,0,11,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,2,0,0,1,0,12,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,.dd,bubble_up
1,1,0,0,33,0,39,0,1,12,23,0,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,21,0,0,8,0,1,1,1,93,14,1,1,0,2,1,0,0,8,0,0,7,1,100,23,0,1,1,1,3,0,2,4,0,16,0,3,10,1,0,3,0,13,0,3,6,0,.dd,main
0,1,0,0,9,0,12,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,17,3,0,0,0,0,0,0,0,2,0,0,1,0,16,7,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,.dd,sort_down
0,1,0,0,9,0,12,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,17,3,0,0,0,0,0,0,0,2,0,0,1,0,16,7,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,.dd,sort_up
1,1,0,0,10,0,37,0,0,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,44,3,0,0,0,0,0,0,0,2,0,0,1,0,74,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,.jaz,main
1,1,0,0,25,0,29,0,0,8,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,49,8,0,0,0,0,0,0,0,3,0,0,4,0,53,8,0,0,0,0,3,0,0,0,0,6,0,1,4,0,0,0,0,10,0,0,0,1,.jaz,main
1,1,0,0,26,0,18,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,41,3,0,0,0,0,0,0,0,2,0,0,1,0,33,19,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,14,0,0,0,0,.jaz,main
1,1,0,0,39,0,30,0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,87,13,0,0,0,0,0,0,0,5,0,0,7,1,91,13,0,0,0,0,3,0,0,5,0,12,0,3,6,1,0,3,0,13,0,3,6,0,.jaz,main
1,0.67,0,0,11,0,18,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,0,37,2,0,0,0,0,0,3,0,0,0,0,1,0,44,7,4,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,.jaz,brute
1,1,0,0,13,0,24,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,36,2,0,0,0,0,0,0,0,3,0,0,4,0,32,9,0,0,0,0,3,0,0,2,0,6,0,1,5,0,0,0,0,10,0,0,0,0,.jaz,main
1,0.67,0,0,20,0,34,0,0,26,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,0,0,0,0,74,2,0,0,0,0,0,3,0,2,0,0,1,0,97,8,3,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,.jaz,solve
0,1,0,0,6,0,13,0,0,4,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,0,1,0,17,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,.jaz,dfs
1,1,0,0,22,0,28,0,0,2,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,5,1,0,0,0,35,7,0,0,0,0,0,0,0,4,0,0,4,0,33,6,0,2,0,0,3,0,0,2,0,6,0,1,7,0,0,0,0,8,0,0,0,0,.jaz,main
1,1,0,0,21,0,28,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,1,0,0,0,58,3,0,0,0,0,0,1,0,4,0,0,4,0,67,8,1,0,0,0,3,0,0,1,0,6,0,1,7,0,0,0,0,10,0,0,0,0,.jaz,main
1,0.9,0,0,33,0,26,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,7,0,0,0,0,65,5,0,0,0,0,0,0,0,2,0,0,4,0,64,13,0,0,0,0,3,0,0,3,0,6,0,1,10,0,0,0,0,8,0,0,0,0,.jaz,main
1,1,0,0,20,0,22,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,35,6,0,0,0,0,0,0,0,4,0,0,4,0,40,11,0,0,0,0,3,0,0,0,0,6,0,1,6,0,0,0,0,7,0,0,0,0,.jaz,main
1,0.8,0,0,19,0,38,0,0,6,23,4,3,1,0,0,0,0,0,0,3,0,10,0,0,0,0,0,14,0,0,3,0,0,0,0,56,3,0,0,0,0,0,0,0,1,0,0,1,0,76,9,0,3,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,2,0,0,0,1,.jaz,solve
1,0.88,0,0,61,0,51,0,0,1,79,0,2,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,16,0,0,8,6,0,0,0,104,14,0,0,0,0,0,0,0,5,0,0,4,0,89,49,0,5,0,0,3,0,0,11,0,6,0,1,4,0,0,0,0,12,0,0,0,1,37ae912,main
0,0,0,0,4,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,8,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,37ae912,samedirection
1,1,0,0,2,0,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,1,0,0,1,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37ae912,init
1,1,0,0,54,0,34,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,24,4,0,0,0,0,0,0,0,1,0,0,1,0,39,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,1,37ae912,main
1,1,0,0,28,0,22,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,32,6,0,0,0,0,0,0,0,1,0,0,4,0,27,9,0,0,0,0,3,0,0,1,0,6,0,1,3,0,0,0,0,6,0,0,0,3,37ae912,main
1,1,0,0,40,0,21,0,0,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,2,0,0,0,65,9,0,0,0,0,0,0,0,3,0,0,1,0,71,32,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,16,0,0,0,1,37ae912,main
1,1,0,0,31,0,30,0,1,4,10,0,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,12,0,1,9,0,1,1,1,55,6,1,1,0,2,1,0,0,2,0,0,7,1,53,6,0,5,1,1,3,0,2,2,0,16,0,3,6,1,0,3,0,8,0,3,6,2,37ae912,main
1,1,0,0,34,0,26,0,0,4,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,30,6,0,0,0,0,0,0,0,1,0,0,6,0,23,5,0,4,0,0,2,0,0,0,0,7,0,1,0,0,0,0,0,8,0,0,0,1,37ae912,test
1,0.67,0,0,31,0,22,0,1,8,27,0,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,8,0,0,9,0,1,1,1,61,7,1,1,0,2,1,0,0,3,0,0,7,1,64,14,0,1,1,1,3,0,2,2,0,16,0,3,5,1,0,3,0,7,0,3,6,1,37ae912,main
0,1,0,0,18,0,22,0,4,8,25,0,5,2,2,0,0,1,2,0,13,28,7,4,5,0,28,1,30,0,1,18,1,0,2,2,70,8,2,2,0,4,0,9,0,3,0,0,1,0,70,9,9,40,2,2,0,0,2,0,0,35,0,0,1,0,0,0,0,3,4,0,0,0,37ae912,Init
0,1,0,0,21,0,17,0,0,12,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,43,4,0,0,0,0,0,0,0,3,0,0,2,2,42,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,6,0,0,0,0,37ae912,Merge
1,0.75,12,6,38,0,44,0,1,5,16,0,0,2,2,0,2,0,1,0,1,2,2,2,0,0,0,0,13,0,0,11,0,1,1,1,71,10,1,1,0,2,1,0,0,6,0,0,7,1,66,8,0,1,1,1,3,0,2,0,0,16,0,3,5,1,0,3,0,9,0,3,6,0,37ae912,main
1,1,0,0,37,0,32,0,0,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,49,3,0,0,0,0,0,0,0,3,0,0,1,0,67,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,37ae912,solve
1,1,0,0,12,0,17,0,0,9,7,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,25,1,0,0,0,0,0,0,0,1,0,0,1,0,32,2,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,2,0,0,0,0,37ae912,CR
1,1,0,0,19,0,17,0,0,9,4,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,4,1,0,0,0,23,1,0,0,0,0,0,0,0,1,0,0,1,0,30,1,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,37ae912,DFS
0,1,0,0,4,0,13,0,4,1,11,0,4,1,2,0,0,0,2,0,9,28,7,4,0,0,19,0,21,0,0,11,0,0,2,2,35,1,2,2,0,4,0,7,0,1,0,0,1,0,38,8,7,25,2,2,0,0,2,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,37ae912,Init
1,0.6,14,7,24,0,38,0,1,1,2,0,0,2,2,0,2,0,1,0,2,2,0,2,0,0,0,0,13,0,0,9,0,1,1,1,32,5,1,1,0,2,1,0,0,2,0,0,7,1,32,4,0,2,1,1,3,0,2,0,0,16,0,3,7,1,0,3,0,7,0,3,6,1,37ae912,main
1,1,0,0,13,0,16,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0,1,0,20,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,37ae912,solve
1,0.5,40,20,37,0,38,0,1,5,19,0,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,10,0,2,10,0,1,1,1,61,10,1,1,0,2,1,0,0,4,0,0,7,1,66,11,0,1,1,1,3,0,2,2,0,16,0,3,6,1,0,3,0,7,0,3,6,0,37ae912,main
1,1,0,0,10,0,15,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,3,0,0,0,0,0,0,0,1,0,0,1,0,18,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,37ae912,solve
1,0.88,102,42,42,0,31,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,58,9,0,0,0,0,0,0,0,3,0,0,4,0,55,12,0,0,0,0,3,0,0,2,0,6,0,0,5,0,0,0,0,11,0,0,0,2,3abdelazim,main
1,1,16,11,11,0,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,18,6,0,0,0,0,0,0,0,1,0,0,4,0,25,6,0,0,0,0,3,0,0,2,0,6,0,1,5,0,0,0,0,1,0,0,0,0,3abdelazim,main
1,1,4,3,3,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,1,0,15,0,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3abdelazim,solve
1,1,69,29,29,0,31,0,0,4,15,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,8,0,0,0,0,40,12,0,0,0,0,0,1,0,6,0,0,4,0,44,22,0,0,0,0,3,0,0,1,0,6,0,0,6,0,0,0,0,9,0,0,0,0,3abdelazim,main
1,1,34,17,17,0,24,0,1,0,6,0,0,2,2,0,2,0,1,0,1,2,9,2,0,0,0,0,16,0,0,9,0,1,1,1,44,6,1,1,0,2,1,0,0,3,0,0,7,1,40,8,0,1,1,1,3,0,2,3,0,16,0,2,6,1,0,3,0,4,0,3,6,0,3abdelazim,main
0,0.5,6,5,5,0,10,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,3abdelazim,dfs
0,1,13,11,11,0,19,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,14,3,0,0,0,0,0,3,0,1,0,0,2,0,20,1,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,3abdelazim,getstr
1,1,59,28,28,0,35,0,1,6,11,0,0,2,2,0,2,0,1,0,4,2,12,2,0,0,0,0,25,0,0,11,0,1,1,1,73,7,1,1,0,2,1,0,0,5,0,0,7,1,69,14,0,4,1,1,3,0,2,2,0,16,0,2,7,1,0,3,0,5,0,3,6,0,3abdelazim,main
1,0.8,13,11,11,0,16,0,0,2,5,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,7,0,1,3,0,0,0,0,26,5,0,0,0,0,0,2,0,2,0,0,1,0,26,4,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3abdelazim,cost
1,1,60,25,25,0,20,0,0,6,7,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,6,0,0,7,0,0,0,0,37,6,0,0,0,0,0,0,0,4,0,0,1,0,43,8,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3abdelazim,getf
1,1,83,37,37,0,37,0,1,0,9,1,1,3,2,0,2,0,1,0,4,2,24,2,0,0,0,0,36,0,1,13,0,1,1,1,81,8,1,1,0,2,1,0,0,4,0,0,7,1,85,17,0,4,1,1,3,0,2,2,0,16,0,2,9,1,0,3,0,5,0,3,6,0,3abdelazim,main
0,1,10,6,6,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,3,0,0,0,0,16,1,0,0,0,0,0,0,0,1,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,3abdelazim,CHECK
0,1,13,8,8,0,15,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,9,0,0,3,1,0,0,0,30,1,0,0,0,0,2,0,0,1,0,0,1,0,27,6,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,3abdelazim,SIZE
1,0,4,4,4,0,6,0,0,0,22,0,2,2,0,0,0,16,0,2,3,14,0,3,1,0,14,0,19,0,2,22,1,0,1,1,55,8,1,1,0,1,0,1,1,0,0,0,48,7,43,7,1,31,1,1,2,0,1,2,0,57,0,5,3,15,0,19,0,6,0,6,8,0,3abdelazim,cl
1,0,1,1,1,0,5,0,102,186,1449,56,143,198,224,26,75,338,59,35,373,1319,364,303,151,72,604,45,1493,223,42,1236,45,94,194,194,4696,613,194,194,75,253,29,222,91,40,0,5,385,184,4280,928,241,1574,194,194,45,25,136,107,21,3909,3,495,78,1438,559,557,48,639,313,60,123,14,3abdelazim,g
