empty_lines,non_empty_lines,average_line_length,line_length_deviation,words,unique_words,chars,tabulators,spaces,tab_indents,space_indents,prefers_tabs_over_spaces,whitespace_to_character_ratio,comments,comment_readability,one_line_to_all_comments,multi_line_to_all_comments,inline_to_all_comments,unindented_comments_to_all,preprocessor_directives,define_name_readability,using_stl_libraries,all_keywords,if_keywords,else_keywords,for_keywords,while_keywords,switch_keywords,do_keywords,variable_name_readability,custom_types,custom_type_name_readability,functions,function_name_readability,function_average_length,function_length_deviation,function_block_braces,nesting_depth,average_parameter_count,parameter_count_deviation,commands,average_commands_per_line,ternary_operations,negation_operator,uses_united_declarations,uses_range_based_for,creation_order,author
0.15,0.85,11.24,9.69,238,51,1371,141,99,42,0.58,1,0.18,49,0.78,1.00,0,0,0.96,1,0,1,15,3,2,10,0,0,0,0,1,0,1,1.00,10.00,0.00,2,3,2.00,0.00,62,0.60,0,1,0,0,0,23nigam
0.00,1.00,12.68,7.55,53,24,241,17,9,11,0.61,1,0.11,0,0,0,0,0,0,1,0,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,13,0.72,0,0,1,0,0,23nigam
0.04,0.96,9.93,14.23,112,28,536,2,609,0,0.94,0,1.14,0,0,0,0,0,0,1,0,0,11,4,3,1,3,0,0,0,1,0,0,0,0,0,3,3,0,0,27,0.53,0,0,1,0,0,23nigam
0.08,0.92,11.44,11.55,424,97,2071,0,1358,0,0.80,0,0.66,3,0.75,1.00,0,0,0,1,0,1,31,16,1,11,3,0,0,0,1,0,3,0.33,9.67,3.78,2,4,1.33,0.44,89,0.54,0,3,1,0,0,23nigam
0.07,0.93,10.73,10.02,65,33,322,0,160,0,0.85,0,0.50,2,0.50,1.00,0,0,0,1,0,0,5,2,1,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,19,0.70,0,0,1,0,0,23nigam
0.20,0.80,13.30,16.63,334,62,1370,0,985,0,1.12,0,0.72,10,0.92,1.00,0,0,0,1,0,1,16,7,2,6,1,0,0,0,1,0,0,0,0,0,3,4,0,0,58,0.72,1,0,1,0,0,37ae912
0.24,0.76,10.40,12.20,186,39,915,0,472,0,1.14,0,0.52,43,0.80,0.00,1.00,0,0,1,0,1,17,6,1,8,2,0,0,0,1,0,1,1.00,5.00,0.00,2,4,0.00,0.00,47,0.71,0,0,1,0,0,37ae912
0.29,0.71,8.49,12.46,95,28,416,0,316,0,1.21,0,0.76,5,0.90,0.00,1.00,0,0,1,0,1,8,3,0,2,3,0,0,0,1,0,0,0,0,0,3,4,0,0,22,0.65,0,0,1,0,0,37ae912
0.21,0.79,9.05,12.88,123,23,516,0,445,0,1.16,0,0.86,6,1.00,0.00,1.00,0,0,1,0,0,14,8,2,3,1,0,0,0,1,0,0,0,0,0,3,4,0,0,27,0.61,1,0,1,0,0,37ae912
0.19,0.81,9.65,12.78,223,52,984,0,830,0,1.01,0,0.84,4,0.91,1.00,0,0,0.25,1,0,1,16,6,4,3,3,0,0,0,1,0,1,1.00,41.00,0.00,2,4,0.00,0.00,54,0.66,1,1,1,0,0,37ae912
0.28,0.72,10.58,11.95,115,28,561,0,270,0,1.14,0,0.48,4,0.88,1.00,0,0,0,1,0,0,7,3,0,3,1,0,0,0,1,0,0,0,0,0,3,3,0,0,29,0.78,0,0,1,0,0,37ae912
0.21,0.79,13.49,13.28,556,88,2523,12,1273,6,0.90,1,0.51,26,0.89,0.50,0.50,0,0.23,1,0,1,23,7,0,16,0,0,0,0,1,0,3,1.00,28.67,7.56,2,6,1.00,1.33,100,0.68,0,0,1,0,0,37ae912
0.21,0.79,13.10,11.93,341,83,1925,14,566,7,0.80,1,0.30,7,0.80,1.00,0,0,0.86,1,0,1,15,7,1,6,1,0,0,0,1,0,4,0.75,15.25,4.25,2,4,1.25,1.25,63,0.55,1,1,0,0,0,37ae912
0.12,0.88,15.48,10.61,263,70,1486,40,287,20,0.64,1,0.22,9,0.81,1.00,0,0,0.67,1,0,1,12,5,2,5,0,0,0,0,1,0,1,1.00,13.00,0.00,2,3,1.00,0.00,50,0.60,0,0,0,0,0,37ae912
0.18,0.82,9.24,8.25,152,41,656,112,92,50,1.00,1,0.31,0,0,0,0,0,0,1,0,1,11,2,2,5,2,0,0,0,1,0,2,0.00,5.00,0.00,1,3,0.00,0.00,37,0.65,0,0,1,0,0,3abdelazim
0.15,0.85,13.54,11.94,112,41,528,26,80,20,0.81,1,0.20,0,0,0,0,0,0,1,0,1,3,1,0,2,0,0,0,0,1,0,3,0.33,5.00,0.00,1,3,1.33,1.78,20,0.62,0,0,0,0,0,3abdelazim
0.12,0.88,10.30,9.21,103,40,515,81,71,35,0.95,1,0.30,0,0,0,0,0,0,1,0,1,12,3,2,7,0,0,0,0,1,0,1,0.00,5.00,0.00,1,3,0.00,0.00,21,0.49,0,0,0,0,0,3abdelazim
0.15,0.85,10.93,10.41,64,31,295,34,61,17,0.91,1,0.32,0,0,0,0,0,0,1,0,0,5,1,0,4,0,0,0,0,1,0,0,0,0,0,3,3,0,0,12,0.55,0,0,1,0,0,3abdelazim
0.13,0.87,11.01,9.13,174,58,837,80,128,45,0.82,1,0.25,0,0,0,0,0,0,1,0,1,12,2,0,7,2,0,1,0,1,0,4,0.00,6.00,1.00,1,4,0.75,0.75,35,0.54,0,0,1,0,0,3abdelazim
0.11,0.89,9.97,8.70,204,63,967,156,149,73,0.93,1,0.32,1,1.00,1.00,0,0,0,1,0,1,18,5,2,11,0,0,0,0,1,0,2,1.00,20.00,7.00,1,4,0.50,0.50,43,0.51,0,0,1,0,0,3abdelazim
0.08,0.92,10.76,9.34,319,68,1409,211,259,94,0.88,1,0.33,0,0,0,0,0,0,1,0,1,25,13,1,11,0,0,0,0,1,0,5,1.00,6.80,1.84,1,4,2.80,0.64,54,0.45,0,0,1,0,0,3abdelazim
0.11,0.89,10.51,9.60,211,45,883,116,158,56,0.88,1,0.31,0,0,0,0,0,0,1,0,1,16,6,1,9,0,0,0,0,1,0,5,0.75,9.00,4.00,1,3,1.80,0.72,34,0.46,0,0,0,0,0,3abdelazim
0.10,0.90,10.86,8.90,103,40,456,62,65,28,0.86,1,0.28,0,0,0,0,0,0,1,0,1,6,1,0,4,1,0,0,0,1,0,1,0.00,5.00,0.00,1,3,0.00,0.00,22,0.59,0,0,0,0,0,3abdelazim
0.03,0.97,15.21,13.50,254,66,1399,0,824,0,0.78,0,0.59,13,0.86,0.23,0.77,0,0.23,1,0,1,16,5,1,7,3,0,0,0,1,0,1,1.00,31.00,0.00,1,4,4.00,0.00,53,0.60,0,0,1,0,0,3of7
0.01,0.99,11.23,19.41,503,63,2178,0,3465,0,0.92,0,1.59,0,0,0,0,0,0,1,0,1,57,17,5,35,0,0,0,0,1,0,0,0,0,0,3,3,0,0,140,0.73,0,0,1,0,0,3of7
0.02,0.98,16.53,11.36,121,53,711,0,280,0,0.61,0,0.39,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,1,0,0,0,0,0,3,3,0,0,25,0.61,0,0,1,0,0,3of7
0.02,0.98,13.86,11.44,145,57,790,0,474,0,0.71,0,0.60,0,0,0,0,0,0,1,0,1,11,4,2,4,1,0,0,0,1,0,0,0,0,0,3,5,0,0,32,0.58,0,0,0,0,0,3of7
0.03,0.97,14.97,13.87,218,65,1063,0,698,0,0.75,0,0.66,0,0,0,0,0,0,1,0,1,21,8,4,9,0,0,0,0,1,0,1,1.00,8.00,0.00,1,5,2.00,0.00,46,0.68,0,0,1,0,0,3of7
0.03,0.97,14.28,16.47,347,84,1757,0,1571,0,0.83,0,0.89,2,1.00,1.00,0,0,0.50,1,0,1,28,16,1,11,0,0,0,0,1,0,1,1.00,7.00,0.00,1,5,2.00,0.00,75,0.64,0,5,1,0,0,3of7
0.04,0.96,14.25,12.52,140,49,741,0,436,0,0.65,0,0.59,14,0.85,0.00,1.00,0,0,1,0,1,11,6,0,5,0,0,0,0,1,0,1,0.00,4.00,0.00,1,4,1.00,0.00,27,0.55,0,1,1,0,0,3of7
0.04,0.96,14.29,13.12,227,66,1172,0,754,0,0.74,0,0.64,0,0,0,0,0,0,1,0,1,13,4,0,8,1,0,0,0,1,0,1,0.00,6.00,0.00,1,4,2.00,0.00,53,0.68,0,0,1,0,0,3of7
0.02,0.98,15.05,14.90,257,74,1249,0,960,0,0.79,0,0.77,0,0,0,0,0,0,1,0,1,16,6,3,7,0,0,0,0,1,0,1,0.00,4.00,0.00,1,5,1.00,0.00,54,0.68,0,1,1,0,0,3of7
0.00,1.00,16.30,14.39,99,56,489,0,242,0,0.72,0,0.49,0,0,0,0,0,0,1,0,1,4,1,1,2,0,0,0,0,1,0,0,0,0,0,3,4,0,0,19,0.66,0,0,0,0,0,735612658
0.02,0.98,12.64,13.97,131,42,632,0,513,0,0.83,0,0.81,1,1.00,1.00,0,0,0,1,0,1,11,7,1,3,0,0,0,0,1,0,0,0,0,0,3,3,0,0,28,0.58,0,0,0,0,0,735612658
0.04,0.96,12.89,12.01,148,41,709,0,296,0,0.83,0,0.42,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,1,0,3,0.33,9.33,2.22,3,4,0.00,0.00,35,0.67,0,0,1,0,0,735612658
0.18,0.82,17.58,21.76,762,70,3568,0,2306,0,1.07,0,0.65,38,0.76,0.00,0.95,0.05,0,1,0,1,26,16,1,9,0,0,0,0,1,0,2,0.50,78.50,77.50,3,5,1.50,1.50,106,0.64,1,0,1,0,0,735612658
0.00,1.00,11.33,13.47,179,55,816,0,751,0,0.92,0,0.92,2,0.73,1.00,0,0,0,1,0,1,11,5,1,5,0,0,0,0,1,0,0,0,0,0,3,3,0,0,43,0.61,0,0,1,0,0,735612658
0.11,0.89,11.75,17.71,159,48,740,0,844,0,1.13,0,1.14,0,0,0,0,0,0,0,0,0,14,5,1,7,1,0,0,0,1,0,0,0,0,0,3,3,0,0,43,0.78,0,1,1,0,0,735612658
0.04,0.96,10.67,10.78,240,70,1110,0,585,0,0.76,0,0.53,0,0,0,0,0,0,1,0,1,11,5,1,3,2,0,0,0,1,0,3,0.67,18.00,14.00,2,3,0.67,0.89,48,0.48,1,2,1,0,0,735612658
0.06,0.94,9.49,10.82,155,33,664,0,392,0,0.72,0,0.59,0,0,0,0,0,0,1,0,1,6,2,0,1,3,0,0,0,1,0,4,0.75,11.25,2.75,2,4,1.50,0.75,33,0.51,0,0,1,0,0,735612658
0.10,0.90,12.91,13.26,179,61,865,0,412,0,0.66,0,0.48,0,0,0,0,0,0,1,0,1,11,2,0,9,0,0,0,0,1,0,4,0.75,4.50,3.50,3,3,1.50,1.50,41,0.69,1,0,1,0,0,735612658
0.07,0.93,20.02,15.45,231,116,1141,32,157,23,0.54,1,0.17,0,0,0,0,0,0,1,0,1,8,2,1,5,0,0,0,0,1,0,1,1.00,22.00,0.00,2,5,0.00,0.00,29,0.56,0,0,0,0,0,A.Grishchenko
0.05,0.95,15.21,11.23,211,75,1217,145,189,46,0.68,1,0.27,1,0.75,1.00,0,0,0,1,0,1,13,6,1,6,0,0,0,0,1,0,1,1.00,45.00,0.00,2,5,0.00,0.00,42,0.56,0,0,1,0,0,A.Grishchenko
0.07,0.93,17.07,11.80,195,74,973,42,133,23,0.54,1,0.18,2,1.00,1.00,0,0,0,1,0,1,12,4,1,7,0,0,0,0,1,0,1,1.00,22.00,0.00,2,5,0.00,0.00,28,0.54,0,0,1,0,0,A.Grishchenko
0.09,0.91,15.48,11.91,281,83,1424,157,194,52,0.73,1,0.25,0,0,0,0,0,0,1,0,1,15,6,3,5,1,0,0,0,1,0,2,1.00,28.50,24.50,3,5,0.00,0.00,43,0.52,0,0,0,0,0,A.Grishchenko
0.07,0.93,14.83,10.08,183,71,890,51,120,26,0.56,1,0.19,0,0,0,0,0,0,1,0,1,6,1,0,5,0,0,0,0,1,0,1,1.00,25.00,0.00,2,5,0.00,0.00,31,0.56,0,0,1,0,0,A.Grishchenko
0.11,0.89,12.85,9.87,225,72,1041,94,204,34,0.75,1,0.29,0,0,0,0,0,0,1,0,1,10,2,0,8,0,0,0,0,1,0,2,0.50,23.00,16.00,3,4,0.50,0.50,48,0.68,0,0,0,0,0,A.Grishchenko
0.10,0.90,13.95,10.18,239,83,1116,74,181,35,0.69,1,0.23,0,0,0,0,0,0,1,0,1,9,2,1,5,1,0,0,0,1,0,2,0.50,22.00,15.00,3,5,0.50,0.50,44,0.62,0,0,1,0,0,A.Grishchenko
0.07,0.93,15.22,11.41,305,89,1537,142,253,55,0.73,1,0.26,0,0,0,0,0,0,1,0,1,16,6,3,5,2,0,0,0,1,0,3,0.67,21.33,21.78,1,5,0.33,0.44,54,0.58,0,0,1,0,0,A.Grishchenko
0.07,0.93,13.32,9.79,257,81,1265,91,211,46,0.68,1,0.24,0,0,0,0,0,0,1,0,1,14,5,1,8,0,0,0,0,1,0,3,0.33,18.00,10.00,1,5,1.00,0.67,55,0.63,0,0,0,0,0,A.Grishchenko
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,a180285
0.12,0.88,19.86,14.36,165,90,854,21,88,15,0.57,1,0.13,0,0,0,0,0,0,1,0,1,7,2,1,4,0,0,0,0,1,0,1,1.00,3.00,0.00,1,5,2.00,0.00,25,0.68,0,0,1,0,0,a9108
0.10,0.90,14.48,8.72,140,51,695,25,49,19,0.60,1,0.11,0,0,0,0,0,0,1,0,1,5,1,0,4,0,0,0,0,1,0,1,1.00,14.00,0.00,1,4,1.00,0.00,29,0.69,0,0,1,0,0,a9108
0.07,0.93,15.51,10.12,187,51,884,44,65,25,0.58,1,0.12,0,0,0,0,0,0,1,0,1,12,7,1,4,0,0,0,0,1,0,3,0.67,5.00,2.00,1,4,2.33,0.44,28,0.54,0,0,1,0,0,a9108
0.04,0.96,20.39,12.86,635,84,2671,163,175,89,0.76,1,0.13,3,0.95,1.00,0,0,0,1,0,1,42,25,3,14,0,0,0,0,1,0,4,0.67,13.75,3.75,1,6,2.50,0.75,95,0.76,0,1,1,0,0,a9108
0.06,0.94,12.53,8.24,163,51,777,113,58,36,0.72,1,0.22,0,0,0,0,0,0,1,0,1,14,8,1,5,0,0,0,0,1,0,0,0,0,0,3,3,0,0,36,0.63,0,0,1,0,0,a9108
0.10,0.90,13.60,8.54,108,42,544,28,36,14,0.54,1,0.12,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,1,0,0,0,0,0,3,4,0,0,19,0.54,0,0,1,0,0,a9108
0.09,0.91,15.41,8.68,141,51,678,33,47,17,0.56,1,0.12,0,0,0,0,0,0,1,0,1,8,3,1,4,0,0,0,0,1,0,0,0,0,0,3,6,0,0,27,0.69,0,0,1,0,0,a9108
0.08,0.92,16.17,10.92,301,75,1407,105,83,51,0.75,1,0.13,0,0,0,0,0,0,1,0,1,17,6,2,9,0,0,0,0,1,0,3,0.67,12.67,9.56,1,6,1.33,1.11,62,0.78,0,0,1,0,0,a9108
0.13,0.87,17.24,12.86,247,66,1207,39,85,31,0.68,1,0.10,0,0,0,0,0,0,1,0,1,14,4,1,9,0,0,0,0,1,0,4,0.50,5.75,2.25,1,7,1.25,0.38,46,0.77,0,0,1,0,0,a9108
0.12,0.88,10.49,7.74,183,55,892,18,163,18,0.70,1,0.20,0,0,0,0,0,0,1,0,1,9,2,0,4,3,0,0,0,1,0,2,0.50,19.00,0.00,2,3,1.00,0.00,38,0.51,0,0,1,0,0,aa2985759
0.20,0.80,11.40,9.89,82,39,399,7,64,7,0.93,1,0.18,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,3,3,0,0,17,0.63,0,0,1,0,0,aa2985759
0.11,0.89,10.50,8.32,117,43,588,37,92,31,0.92,1,0.22,0,0,0,0,0,0,1,0,1,13,5,2,5,1,0,0,0,1,0,0,0,0,0,3,3,0,0,30,0.61,0,0,1,0,0,aa2985759
0.14,0.86,12.00,9.07,74,35,336,8,44,6,0.78,1,0.15,0,0,0,0,0,0,1,0,1,4,1,0,2,1,0,0,0,1,0,0,0,0,0,3,3,0,0,14,0.61,0,0,1,0,0,aa2985759
0.07,0.93,12.82,9.37,300,61,1346,39,194,38,0.78,1,0.17,0,0,0,0,0,0,1,0,1,20,7,0,9,4,0,0,0,1,0,4,0.25,13.00,8.00,2,5,1.25,0.38,69,0.71,0,3,1,0,0,aa2985759
0.09,0.91,11.42,9.16,192,53,879,50,132,40,0.86,1,0.21,0,0,0,0,0,0,1,0,1,16,5,2,8,1,0,0,0,1,0,1,1.00,9.00,0.00,2,5,1.00,0.00,46,0.67,0,1,1,0,0,aa2985759
0.17,0.83,12.61,12.25,447,79,1916,168,507,56,1.02,1,0.35,0,0,0,0,0,0,1,0,1,24,12,0,9,3,0,0,0,1,0,2,1.00,32.50,27.50,2,6,3.00,0.00,88,0.70,1,3,1,0,0,aa2985759
0.14,0.86,10.20,8.00,213,58,898,90,27,51,0.84,1,0.13,0,0,0,0,0,0,1,0,1,15,5,1,8,1,0,0,0,1,0,3,0.33,16.33,7.11,2,4,1.00,1.33,52,0.69,0,1,1,0,0,aa2985759
0.10,0.90,12.08,8.55,178,44,725,59,17,39,0.85,1,0.10,0,0,0,0,0,0,1,0,1,15,6,1,5,3,0,0,0,1,0,1,0.00,31.00,0.00,2,3,2.00,0.00,34,0.64,0,0,1,0,0,aa2985759
0.00,1.00,15.94,9.15,127,36,510,54,15,26,0.84,1,0.14,2,0.70,1.00,0,0,0,1,0,1,11,4,0,7,0,0,0,0,1,0,0,0,0,0,3,3,0,0,31,1.00,0,0,1,0,0,aaaaajack
0.00,1.00,17.76,9.12,78,36,373,22,10,15,0.75,1,0.09,2,0.70,1.00,0,0,0,1,0,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,3,2,0,0,18,0.90,0,0,1,0,0,aaaaajack
0.00,1.00,22.44,13.53,117,42,606,37,21,21,0.81,1,0.10,2,0.70,1.00,0,0,0,1,0,1,10,3,2,5,0,0,0,0,1,0,0,0,0,0,3,4,0,0,28,1.08,0,0,1,0,0,aaaaajack
0.00,1.00,12.28,10.32,55,23,221,0,108,0,0.76,0,0.49,0,0,0,0,0,0,1,0,0,4,1,0,3,0,0,0,0,1,0,0,0,0,0,3,3,0,0,14,0.82,0,0,1,0,0,aaaaajack
0.02,0.98,13.16,13.42,182,44,829,0,662,0,0.89,0,0.80,0,0,0,0,0,0,1,0,1,18,6,3,9,0,0,0,0,1,0,0,0,0,0,3,4,0,0,44,0.72,0,1,1,0,0,aaaaajack
0.00,1.00,15.79,9.71,355,67,1690,316,37,94,0.89,1,0.21,6,0.93,1.00,0,0,0,1,0,1,27,11,7,9,0,0,0,0,1,0,0,0,0,0,3,5,0,0,82,0.77,0,2,1,0,0,aaaaajack
0.00,1.00,13.13,8.82,97,33,407,44,25,24,0.80,1,0.17,0,0,0,0,0,0,1,0,0,9,5,1,3,0,0,0,0,1,0,1,0.00,4.00,0.00,1,3,2.00,0.00,23,0.77,0,0,1,0,0,aaaaajack
0.00,1.00,14.35,8.31,170,46,775,78,24,40,0.75,1,0.13,0,0,0,0,0,0,1,0,1,13,4,1,7,1,0,0,0,1,0,1,1.00,30.00,0.00,1,4,3.00,0.00,42,0.79,0,2,1,0,0,aaaaajack
0.00,1.00,14.10,8.13,94,30,423,47,11,22,0.76,1,0.14,0,0,0,0,0,0,1,0,1,7,2,1,4,0,0,0,0,1,0,0,0,0,0,3,3,0,0,23,0.79,0,0,1,0,0,aaaaajack
0.17,0.83,15.87,13.98,106,39,476,25,79,15,0.71,1,0.22,0,0,0,0,0,0,1,0,1,6,1,0,4,1,0,0,0,1,0,0,0,0,0,3,3,0,0,19,0.79,0,0,1,0,0,abcsampson
0.23,0.77,11.74,11.17,176,49,716,125,158,44,1.00,1,0.40,0,0,0,0,0,0,1,0,1,10,4,0,6,0,0,0,0,1,0,0,0,0,0,3,2,0,0,38,0.83,0,1,1,0,0,abcsampson
0.17,0.83,13.50,12.39,120,38,486,42,95,21,0.79,1,0.28,0,0,0,0,0,0,1,0,1,8,2,1,4,1,0,0,0,1,0,0,0,0,0,3,2,0,0,21,0.72,0,0,1,0,0,abcsampson
